,,Ape,Soda,Vise,Soup,Camera,Can,Cat,Clown,Cube,Driller,Duck,Egg,Glue,Iron,Candy,Lamp,Phone,Squirrel,Avg.
G. Wang et al.,VC (2015),13.3 ,13.3 ,16.1 ,16.0 ,15.1 ,14.6 ,19.3 ,14.0 ,13.9 ,16.6 ,16.5 ,11.0 ,13.4 ,15.6 ,8.7 ,15.9 ,13.5 ,18.2 ,14.7 
G. Wang et al.,VC (2015),5.5 ,3.9 ,5.9 ,7.9 ,5.5 ,4.7 ,16.8 ,3.6 ,3.8 ,6.2 ,7.2 ,2.3 ,2.8 ,5.8 ,1.2 ,3.8 ,4.6 ,12.9 ,5.8 
H. Tjaden et al.,ICCV (2017),62.1 ,30.5 ,95.8 ,66.2 ,61.6 ,81.7 ,96.7 ,89.1 ,44.1 ,87.7 ,74.9 ,50.9 ,20.2 ,68.4 ,20.0 ,92.3 ,64.9 ,98.5 ,67.0 
B. Wang et al.,MTAP (2019),22.4 ,19.4 ,22.9 ,21.3 ,23.3 ,19.8 ,20.7 ,23.1 ,22.7 ,22.4 ,20.5 ,21.2 ,19.7 ,22.2 ,21.0 ,23.0 ,24.9 ,22.6 ,21.8 
H. Tjaden et al.,TPAMI (2019),85.0 ,39.0 ,98.9 ,82.4 ,79.9 ,87.6 ,95.9 ,93.0 ,86.8 ,74.6 ,38.9 ,81.0 ,46.8 ,97.5 ,80.7 ,99.4 ,93.3 ,78.1 ,79.9 
L. Zhong et al.,IJCV (2019),82.6 ,40.1 ,92.6 ,85.0 ,82.8 ,87.2 ,98.0 ,92.9 ,81.3 ,84.5 ,83.3 ,76.2 ,56.1 ,84.6 ,57.6 ,90.5 ,82.6 ,95.6 ,80.8 
H. Huang et al.,PG (2020),91.9 ,44.8 ,99.7 ,89.1 ,89.3 ,90.6 ,97.4 ,95.9 ,83.9 ,97.6 ,91.8 ,84.4 ,59.0 ,92.5 ,74.3 ,97.4 ,86.4 ,99.7 ,86.9 
H. Huang et al.,CGF (2020),91.9 ,44.8 ,99.7 ,89.1 ,89.3 ,90.6 ,97.4 ,95.9 ,83.9 ,97.6 ,91.8 ,84.4 ,59.0 ,92.5 ,74.3 ,97.4 ,86.4 ,99.7 ,86.9 
H. Huang et al.,CGF (2020),93.0 ,55.2 ,99.3 ,85.4 ,96.1 ,93.9 ,98.0 ,98.2 ,89.7 ,89.1 ,66.5 ,91.3 ,60.6 ,98.6 ,95.6 ,99.6 ,95.6 ,79.5 ,88.1 
L. Zhong et al.,TIP (2020),88.8 ,41.3 ,94.0 ,85.9 ,86.9 ,89.0 ,98.5 ,93.7 ,83.1 ,87.3 ,86.2 ,78.5 ,58.6 ,86.3 ,57.9 ,91.7 ,85.0 ,96.2 ,82.7 
M. Stoiber et al.,ACCV (2020),96.4 ,53.2 ,98.8 ,93.9 ,93.0 ,92.7 ,99.7 ,97.1 ,92.5 ,92.5 ,93.7 ,88.5 ,70.0 ,92.1 ,78.8 ,95.5 ,92.5 ,99.6 ,90.0 
X. Sun et al.,TCSVT (2021),67.2 ,25.2 ,80.7 ,27.6 ,80.2 ,56.6 ,70.1 ,52.9 ,17.3 ,85.3 ,37.8 ,53.0 ,36.3 ,57.9 ,24.6 ,68.0 ,82.6 ,86.7 ,56.1 
X. Sun et al.,TCSVT (2021),93.0 ,55.2 ,99.3 ,85.4 ,96.1 ,93.9 ,98.0 ,95.6 ,79.5 ,98.2 ,89.7 ,89.1 ,66.5 ,91.3 ,60.6 ,98.6 ,95.6 ,99.6 ,88.1 
X. Sun et al.,TCSVT (2021),91.9 ,44.8 ,99.7 ,89.1 ,89.3 ,90.6 ,97.4 ,97.6 ,91.8 ,84.4 ,59.0 ,92.5 ,74.3 ,97.4 ,86.4 ,99.7 ,95.9 ,83.9 ,86.9 
J. Li et al.,C&G (2021),90.0 ,47.4 ,88.4 ,82.1 ,82.9 ,77.9 ,94.2 ,89.3 ,79.2 ,71.0 ,86.3 ,79.3 ,48.5 ,66.5 ,55.9 ,77.1 ,77.6 ,92.0 ,77.0 
J. Li et al.,JCST (2021),92.8 ,42.6 ,96.8 ,87.5 ,90.7 ,86.2 ,99.0 ,96.9 ,86.8 ,94.6 ,90.4 ,87.0 ,57.6 ,88.7 ,59.9 ,96.5 ,90.6 ,99.5 ,85.8 
H. Huang et al.,TVCG (2022),94.6 ,49.4 ,99.5 ,91.0 ,93.7 ,96.0 ,97.8 ,98.2 ,93.4 ,90.3 ,64.4 ,94.0 ,79.0 ,98.8 ,92.9 ,99.8 ,96.6 ,90.2 ,89.9 
X. Tian et al.,ECCV (2022),99.8 ,67.1 ,100.0 ,97.8 ,97.3 ,93.7 ,100.0 ,99.4 ,97.4 ,97.6 ,99.3 ,96.9 ,84.7 ,97.7 ,93.4 ,96.7 ,95.4 ,100.0 ,95.2 
X. Tian et al.,ECCV (2022),99.9 ,65.8 ,99.4 ,95.4 ,96.7 ,92.4 ,100.0 ,97.0 ,97.3 ,96.2 ,82.9 ,96.9 ,91.0 ,95.9 ,94.9 ,99.8 ,98.7 ,94.8 ,94.2 
